element_id,type_id,fieldset_id,attribute_id,sort_order
1,1,,20,0
2,1,,22,1
3,1,,24,2
4,1,,9,3
5,1,,25,4
6,1,,26,5
7,1,,28,6
8,1,,30,7
9,1,,27,8
10,1,,31,9
11,1,,32,10
12,2,,20,0
13,2,,22,1
14,2,,24,2
15,2,,9,3
16,2,,25,4
17,2,,26,5
18,2,,28,6
19,2,,30,7
20,2,,27,8
21,2,,31,9
22,2,,32,10
23,3,,20,0
24,3,,22,1
25,3,,24,2
26,3,,25,3
27,3,,26,4
28,3,,28,5
29,3,,30,6
30,3,,27,7
31,3,,31,8
32,3,,32,9
33,4,,20,0
34,4,,22,1
35,4,,24,2
36,4,,25,3
37,4,,26,4
38,4,,28,5
39,4,,30,6
40,4,,27,7
41,4,,31,8
42,4,,32,9
43,5,1,5,0
44,5,1,7,1
45,5,1,9,2
46,5,2,24,0
47,5,2,31,1
48,5,2,25,2
49,5,2,26,3
50,5,2,28,4
51,5,2,30,5
52,5,2,27,6
